method,symbols,snr_db,shape_success,utility_psnr,note
semantic_header,300,-3.5,1.0,20.54358963454742,3-bit shape metadata; rate=0.01000
repetition_code,300,-3.5,0.9999999999649903,20.543589633828198,3-bit shape metadata; rate=0.01000
random_codebook,300,-3.5,1.0,20.54358963454742,3-bit shape metadata; rate=0.01000
semantic_header,300,-3.0,1.0,21.322291903556184,3-bit shape metadata; rate=0.01000
repetition_code,300,-3.0,0.9999999999978291,21.322291903509896,3-bit shape metadata; rate=0.01000
random_codebook,300,-3.0,1.0,21.322291903556184,3-bit shape metadata; rate=0.01000
semantic_header,300,-2.5,1.0,22.055282810343336,3-bit shape metadata; rate=0.01000
repetition_code,300,-2.5,0.9999999999999035,22.055282810341204,3-bit shape metadata; rate=0.01000
random_codebook,300,-2.5,1.0,22.055282810343336,3-bit shape metadata; rate=0.01000
semantic_header,300,-2.0,1.0,22.34386780618552,3-bit shape metadata; rate=0.01000
repetition_code,300,-2.0,0.999999999999997,22.343867806185457,3-bit shape metadata; rate=0.01000
random_codebook,300,-2.0,1.0,22.34386780618552,3-bit shape metadata; rate=0.01000
semantic_header,300,-1.5,1.0,23.905958028894975,3-bit shape metadata; rate=0.01000
repetition_code,300,-1.5,1.0,23.905958028894975,3-bit shape metadata; rate=0.01000
random_codebook,300,-1.5,1.0,23.905958028894975,3-bit shape metadata; rate=0.01000
semantic_header,300,-1.0,1.0,24.647537408367413,3-bit shape metadata; rate=0.01000
repetition_code,300,-1.0,1.0,24.647537408367413,3-bit shape metadata; rate=0.01000
random_codebook,300,-1.0,1.0,24.647537408367413,3-bit shape metadata; rate=0.01000
semantic_header,300,-0.5,1.0,25.150259885113748,3-bit shape metadata; rate=0.01000
repetition_code,300,-0.5,1.0,25.150259885113748,3-bit shape metadata; rate=0.01000
random_codebook,300,-0.5,1.0,25.150259885113748,3-bit shape metadata; rate=0.01000
semantic_header,300,0.0,1.0,26.053523692071643,3-bit shape metadata; rate=0.01000
repetition_code,300,0.0,1.0,26.053523692071643,3-bit shape metadata; rate=0.01000
random_codebook,300,0.0,1.0,26.053523692071643,3-bit shape metadata; rate=0.01000
semantic_header,300,0.5,1.0,26.55339429101776,3-bit shape metadata; rate=0.01000
repetition_code,300,0.5,1.0,26.55339429101776,3-bit shape metadata; rate=0.01000
random_codebook,300,0.5,1.0,26.55339429101776,3-bit shape metadata; rate=0.01000
semantic_header,300,1.0,1.0,27.00531890258627,3-bit shape metadata; rate=0.01000
repetition_code,300,1.0,1.0,27.00531890258627,3-bit shape metadata; rate=0.01000
random_codebook,300,1.0,1.0,27.00531890258627,3-bit shape metadata; rate=0.01000
semantic_header,300,1.5,1.0,27.709286752516995,3-bit shape metadata; rate=0.01000
repetition_code,300,1.5,1.0,27.709286752516995,3-bit shape metadata; rate=0.01000
random_codebook,300,1.5,1.0,27.709286752516995,3-bit shape metadata; rate=0.01000
semantic_header,300,2.0,1.0,28.280856264535196,3-bit shape metadata; rate=0.01000
repetition_code,300,2.0,1.0,28.280856264535196,3-bit shape metadata; rate=0.01000
random_codebook,300,2.0,1.0,28.280856264535196,3-bit shape metadata; rate=0.01000
semantic_header,300,2.5,1.0,28.63220828730872,3-bit shape metadata; rate=0.01000
repetition_code,300,2.5,1.0,28.63220828730872,3-bit shape metadata; rate=0.01000
random_codebook,300,2.5,1.0,28.63220828730872,3-bit shape metadata; rate=0.01000
semantic_header,300,3.0,1.0,29.09286870388396,3-bit shape metadata; rate=0.01000
repetition_code,300,3.0,1.0,29.09286870388396,3-bit shape metadata; rate=0.01000
random_codebook,300,3.0,1.0,29.09286870388396,3-bit shape metadata; rate=0.01000
semantic_header,300,3.5,1.0,29.46638476265552,3-bit shape metadata; rate=0.01000
repetition_code,300,3.5,1.0,29.46638476265552,3-bit shape metadata; rate=0.01000
random_codebook,300,3.5,1.0,29.46638476265552,3-bit shape metadata; rate=0.01000
semantic_header,300,4.0,1.0,29.808940127560724,3-bit shape metadata; rate=0.01000
repetition_code,300,4.0,1.0,29.808940127560724,3-bit shape metadata; rate=0.01000
random_codebook,300,4.0,1.0,29.808940127560724,3-bit shape metadata; rate=0.01000
semantic_header,768,-12.0,0.9948999999999998,9.41845238486091,3-bit shape metadata; rate=0.00391
repetition_code,768,-12.0,0.9999123408596666,9.466003899181949,3-bit shape metadata; rate=0.00391
random_codebook,768,-12.0,1.0,9.466833753690477,3-bit shape metadata; rate=0.00391
semantic_header,768,-11.5,0.9968999999999999,10.056627671322696,3-bit shape metadata; rate=0.00391
repetition_code,768,-11.5,0.9999689443068783,10.087695958319424,3-bit shape metadata; rate=0.00391
random_codebook,768,-11.5,1.0,10.088009248438851,3-bit shape metadata; rate=0.00391
semantic_header,768,-11.0,0.9975999999999999,10.27567289398805,3-bit shape metadata; rate=0.00391
repetition_code,768,-11.0,0.9999902489304715,10.300819709902893,3-bit shape metadata; rate=0.00391
random_codebook,768,-11.0,1.0,10.30092015489153,3-bit shape metadata; rate=0.00391
semantic_header,768,-10.5,1.0,10.74605884836497,3-bit shape metadata; rate=0.00391
repetition_code,768,-10.5,0.9999973259057306,10.746030112390585,3-bit shape metadata; rate=0.00391
random_codebook,768,-10.5,1.0,10.74605884836497,3-bit shape metadata; rate=0.00391
semantic_header,768,-10.0,0.9991000000000001,10.8928563354072,3-bit shape metadata; rate=0.00391
repetition_code,768,-10.0,0.9999993699410357,10.9025381720455,3-bit shape metadata; rate=0.00391
random_codebook,768,-10.0,1.0,10.902545041291734,3-bit shape metadata; rate=0.00391
semantic_header,768,-9.5,0.9999,11.593178476408935,3-bit shape metadata; rate=0.00391
repetition_code,768,-9.5,0.999999874784406,11.594539834040102,3-bit shape metadata; rate=0.00391
random_codebook,768,-9.5,1.0,11.594541285857476,3-bit shape metadata; rate=0.00391
semantic_header,768,-9.0,1.0,12.02024117954981,3-bit shape metadata; rate=0.00391
repetition_code,768,-9.0,0.9999999794400887,12.020240932414717,3-bit shape metadata; rate=0.00391
random_codebook,768,-9.0,1.0,12.02024117954981,3-bit shape metadata; rate=0.00391
semantic_header,768,-8.5,1.0,12.62794663267544,3-bit shape metadata; rate=0.00391
repetition_code,768,-8.5,0.999999997274894,12.627946598262946,3-bit shape metadata; rate=0.00391
random_codebook,768,-8.5,1.0,12.62794663267544,3-bit shape metadata; rate=0.00391
semantic_header,768,-8.0,1.0,13.105182572819539,3-bit shape metadata; rate=0.00391
repetition_code,768,-8.0,0.99999999971593,13.10518256909675,3-bit shape metadata; rate=0.00391
random_codebook,768,-8.0,1.0,13.105182572819539,3-bit shape metadata; rate=0.00391
semantic_header,768,-7.5,1.0,13.879582054678114,3-bit shape metadata; rate=0.00391
repetition_code,768,-7.5,0.9999999999773823,13.879582054364189,3-bit shape metadata; rate=0.00391
random_codebook,768,-7.5,1.0,13.879582054678114,3-bit shape metadata; rate=0.00391
semantic_header,768,-7.0,1.0,14.719535239630801,3-bit shape metadata; rate=0.00391
repetition_code,768,-7.0,0.9999999999986692,14.71953523961121,3-bit shape metadata; rate=0.00391
random_codebook,768,-7.0,1.0,14.719535239630801,3-bit shape metadata; rate=0.00391
semantic_header,768,-6.5,1.0,14.491304680017773,3-bit shape metadata; rate=0.00391
repetition_code,768,-6.5,0.9999999999999438,14.491304680016963,3-bit shape metadata; rate=0.00391
random_codebook,768,-6.5,1.0,14.491304680017773,3-bit shape metadata; rate=0.00391
semantic_header,768,-6.0,1.0,16.281111606752166,3-bit shape metadata; rate=0.00391
repetition_code,768,-6.0,0.9999999999999984,16.281111606752138,3-bit shape metadata; rate=0.00391
random_codebook,768,-6.0,1.0,16.281111606752166,3-bit shape metadata; rate=0.00391
semantic_header,768,-5.5,1.0,16.753082528121404,3-bit shape metadata; rate=0.00391
repetition_code,768,-5.5,1.0,16.753082528121404,3-bit shape metadata; rate=0.00391
random_codebook,768,-5.5,1.0,16.753082528121404,3-bit shape metadata; rate=0.00391
semantic_header,768,-5.0,1.0,17.742185762491165,3-bit shape metadata; rate=0.00391
repetition_code,768,-5.0,1.0,17.742185762491165,3-bit shape metadata; rate=0.00391
random_codebook,768,-5.0,1.0,17.742185762491165,3-bit shape metadata; rate=0.00391
semantic_header,768,-4.5,1.0,18.576121240752403,3-bit shape metadata; rate=0.00391
repetition_code,768,-4.5,1.0,18.576121240752403,3-bit shape metadata; rate=0.00391
random_codebook,768,-4.5,1.0,18.576121240752403,3-bit shape metadata; rate=0.00391
semantic_header,768,-4.0,1.0,19.345708591991382,3-bit shape metadata; rate=0.00391
