image,snr_db,oracle_psnr
kodim13,-8.5,9.708238706401549
kodim13,-8.0,9.834806927352787
kodim13,-7.5,10.224800614863005
kodim13,-7.0,11.011132269493324
kodim13,-6.5,11.246636386546625
kodim13,-6.0,11.593653688009342
kodim13,-5.5,12.17715117272246
kodim13,-5.0,13.080112688794186
kodim13,-4.5,12.527476930418857
kodim13,-4.0,13.895489261360378
kodim13,-3.5,14.874371822601464
kodim13,-3.0,14.511440690389406
kodim13,-2.5,15.573205034970073
kodim13,-2.0,16.210532085237986
kodim13,-1.5,16.787273503472406
kodim13,-1.0,17.799591728903202
kodim13,-0.5,19.155418548988973
kodim13,0.0,19.3350274754772
kodim13,0.5,20.072281377813734
kodim13,1.0,20.507156330233464
kodim13,1.5,21.374664487551954
kodim13,2.0,22.09134746321334
kodim13,2.5,22.43231012389787
kodim13,3.0,23.098427124878548
kodim13,3.5,23.425368747956334
kodim13,4.0,23.620449169289973
kodim15,-12.0,8.797066421091905
kodim15,-11.5,9.908957650092148
kodim15,-11.0,9.703173935012266
kodim15,-10.5,10.214194668953562
kodim15,-10.0,10.730603955490281
kodim15,-9.5,11.18552252924453
kodim15,-9.0,11.094324797372694
kodim15,-8.5,11.823265261257367
kodim15,-8.0,13.086738163456946
kodim15,-7.5,14.57843580881439
kodim15,-7.0,13.650658799274662
kodim15,-6.5,15.25078448773513
kodim15,-6.0,17.789602539536265
kodim15,-5.5,18.699690178230842
kodim15,-5.0,20.22553579154838
kodim15,-4.5,22.89353801908513
kodim15,-4.0,22.303169145102416
kodim15,-3.5,23.332120565955865
kodim15,-3.0,26.677335995162565
kodim15,-2.5,28.080215112225662
kodim15,-2.0,24.735651267845906
kodim15,-1.5,29.461615213675607
kodim15,-1.0,29.565120861488747
kodim15,-0.5,30.304803541313397
kodim15,0.0,30.805361110184435
kodim15,0.5,31.365797218947687
kodim15,1.0,31.811266226560974
kodim15,1.5,31.914639734672182
kodim15,2.0,32.24970747985058
kodim15,2.5,32.361967770063245
kodim15,3.0,32.76189693273318
kodim15,3.5,32.958331871873526
kodim15,4.0,33.23579271958552
kodim19,-12.0,10.47200061113685
kodim19,-11.5,11.17549370839454
kodim19,-11.0,11.613551484240492
kodim19,-10.5,12.671550169051828
kodim19,-10.0,12.138391567575155
kodim19,-9.5,13.628094485392882
kodim19,-9.0,13.900971937450857
kodim19,-8.5,13.333086612423122
kodim19,-8.0,14.575410629640214
kodim19,-7.5,15.334451813353795
kodim19,-7.0,16.434443704055315
kodim19,-6.5,16.29278722219623
kodim19,-6.0,16.954067055486277
kodim19,-5.5,18.1397254768501
kodim19,-5.0,18.19939935133589
kodim19,-4.5,19.24798901669365
kodim19,-4.0,21.379890043849805
kodim19,-3.5,21.49418035650949
kodim19,-3.0,20.869988507837057
kodim19,-2.5,22.422366214728534
kodim19,-2.0,24.798092895208818
kodim19,-1.5,25.61756029781312
kodim19,-1.0,26.489165270205326
kodim19,-0.5,26.53286405895116
kodim19,0.0,28.35663610829321
