image,snr_db,semantic_psnr,semantic_ok,ldpc_psnr,ldpc_ok,semantic_header_psnr,semantic_header_ok,reencode_psnr,reencode_ok,latsmooth_psnr,latsmooth_ok,gradent_psnr,gradent_ok,tv_psnr,tv_ok,watermark,alpha
kodim05,-11.5,8.240629451449145,1,0.0,0,8.141571642338363,1,0.0,0,0.0,0,8.26149402113802,1,8.26149402113802,1,component,0.1
kodim05,-11.0,8.240700232133317,1,0.0,0,8.36777763411287,1,0.0,0,8.429445757632273,1,0.0,0,0.0,0,component,0.1
kodim05,-10.5,8.50528380907231,1,0.0,0,8.498748522892917,1,0.0,0,0.0,0,0.0,0,8.373545438484104,1,component,0.1
kodim05,-10.0,8.611009598671526,1,0.0,0,8.682545619299082,1,8.957748545567256,1,8.957748545567256,1,8.957748545567256,1,8.957748545567256,1,component,0.1
kodim05,-9.5,9.013701678478423,1,0.0,0,8.987851231323752,1,0.0,0,8.8272900983829,1,0.0,0,8.8272900983829,1,component,0.1
kodim05,-9.0,9.392369915461398,1,0.0,0,9.354071749609425,1,9.435317393881279,1,0.0,0,0.0,0,9.435317393881279,1,component,0.1
kodim05,-8.5,9.718633772695608,1,0.0,0,9.773117946705304,1,9.732442013719158,1,0.0,0,9.732442013719158,1,9.732442013719158,1,component,0.1
kodim05,-8.0,10.2518757796971,1,0.0,0,10.234480932129571,1,9.928745064952816,1,9.928745064952816,1,9.928745064952816,1,0.0,0,component,0.1
kodim05,-7.5,10.353031756988084,1,0.0,0,10.41987628458302,1,0.0,0,0.0,0,10.69792378471567,1,10.69792378471567,1,component,0.1
kodim05,-7.0,10.97762183013321,1,0.0,0,10.97709258932252,1,11.065205835564573,1,11.065205835564573,1,11.065205835564573,1,0.0,0,component,0.1
kodim05,-6.5,11.183141151835038,1,0.0,0,11.844251911284196,1,0.0,0,0.0,0,11.550340428834192,1,0.0,0,component,0.1
kodim05,-6.0,12.119865401159942,1,0.0,0,12.077595367690089,1,11.912163260658925,1,11.912163260658925,1,11.912163260658925,1,0.0,0,component,0.1
kodim05,-5.5,12.508949588141395,1,0.0,0,12.242681389957696,1,12.556411353222432,1,0.0,0,12.556411353222432,1,0.0,0,component,0.1
kodim05,-5.0,13.002667330113018,1,0.0,0,12.913435369126054,1,0.0,0,12.950786747343606,1,0.0,0,0.0,0,component,0.1
kodim05,-4.5,13.847438896470479,1,0.0,0,13.73160512696538,1,0.0,0,0.0,0,13.412160985452699,1,13.412160985452699,1,component,0.1
kodim05,-4.0,14.656253677745807,1,0.0,0,14.510941477052686,1,14.385804741002506,1,14.385804741002506,1,14.385804741002506,1,0.0,0,component,0.1
kodim05,-3.5,15.202970112514135,1,0.0,0,15.081282783057322,1,15.147264398884026,1,15.147264398884026,1,15.147264398884026,1,0.0,0,component,0.1
kodim05,-3.0,14.964754115816737,1,0.0,0,16.37678563398086,1,15.541613683001108,1,0.0,0,15.541613683001108,1,0.0,0,component,0.1
kodim05,-2.5,16.87047439341463,1,0.0,0,16.718320030645067,1,15.814238157743256,1,0.0,0,15.814238157743256,1,0.0,0,component,0.1
kodim05,-2.0,17.053537495424738,1,16.92994044122132,1,16.997562025880786,1,16.47401762439898,1,16.47401762439898,1,16.47401762439898,1,0.0,0,component,0.1
kodim05,-1.5,18.37925713842474,1,18.077888121983968,1,17.298761281410222,1,18.01417434246565,1,18.01417434246565,1,18.01417434246565,1,0.0,0,component,0.1
kodim05,-1.0,18.26911742796384,1,18.724243854810116,1,17.65303234253937,1,18.16761316502401,1,18.16761316502401,1,18.16761316502401,1,0.0,0,component,0.1
kodim05,-0.5,19.245957715663394,1,19.41513785594404,1,18.993698697125552,1,19.282358708491373,1,0.0,0,19.282358708491373,1,0.0,0,component,0.1
kodim05,0.0,20.282973994984683,1,19.90341119653948,1,19.938630172298705,1,20.359408583771632,1,0.0,0,20.359408583771632,1,0.0,0,component,0.1
kodim05,0.5,20.205498281030223,1,20.810150008138507,1,20.4185579089485,1,20.60294865141688,1,0.0,0,20.60294865141688,1,0.0,0,component,0.1
kodim05,1.0,21.86558813079996,1,21.85075335863167,1,21.498501085240562,1,21.844333548398616,1,0.0,0,21.844333548398616,1,0.0,0,component,0.1
kodim05,1.5,22.077902489923268,1,21.943598634974272,1,22.518723740115597,1,22.52600297109808,1,0.0,0,22.52600297109808,1,0.0,0,component,0.1
kodim05,2.0,22.76226126438801,1,23.13814935882862,1,23.208575604270287,1,23.03214644550191,1,0.0,0,23.03214644550191,1,0.0,0,component,0.1
kodim05,2.5,23.9546387801677,1,24.198180711197985,1,23.85978949726775,1,23.73644469204594,1,0.0,0,23.73644469204594,1,0.0,0,component,0.1
kodim05,3.0,24.33444215189241,1,24.517724391258646,1,24.574908706192563,1,24.446428840284398,1,0.0,0,24.446428840284398,1,0.0,0,component,0.1
kodim05,3.5,25.502231274577944,1,25.18815477130714,1,25.154604717120826,1,25.105333111199126,1,0.0,0,25.105333111199126,1,0.0,0,component,0.1
kodim05,4.0,25.957893138664772,1,26.126728459906303,1,25.964256587915738,1,26.00333445923173,1,0.0,0,26.00333445923173,1,0.0,0,component,0.1
